station_id,station_name,coord0_latitude,coord0_longitude,coord1_latitude,coord1_longitude,distance_meters
B2N890,畜試所,23.060713,120.328308,23.058972,120.336406,850.824615161494
G2P820,鳳山農試,22.648354,120.34801,22.646611,120.356083,850.8279306701914
B2Q810,恆春畜試,21.947348,120.794139,21.945583,120.802167,850.9271723324283
72T250,花蓮農改,23.977028,121.555752,23.975222,121.563889,850.764757091993
E2H360,蓮華池,23.920106,120.877136,23.918333,120.885278,850.7552827050006
72HA00,埔里分場,23.904982,120.955222,23.903208,120.963364,850.8752860666045
U2HA30,臺大和社,23.592633,120.880744,23.590856,120.888864,850.7054155660742
U2HA40,臺大內茅埔,23.691497,120.842992,23.689722,120.851117,850.5413059945959
G2M350,溪口農場,23.587406,120.399994,23.58565,120.408111,849.9005508189321
E2K600,四湖植物園,23.678718,120.155296,23.676986,120.163433,850.7134441647435
G2F820,農業試驗所,24.033022,120.679986,24.031261,120.688133,850.2356262726892
72M700,嘉義分場,23.418608,120.274941,23.416869,120.283061,850.7988770685364
72N240,七股研究中心,23.083472,120.054792,23.081672,120.062894,852.6029516858747
42HA10,萬大發電廠,23.980611,121.131497,23.978875,121.139639,849.4332425196123
12Q970,東港工作站,22.481778,120.458017,22.479997,120.466058,849.5769113089978
12J990,口湖工作站,23.591722,120.172281,23.589978,120.180394,849.1716199206334
12Q980,恆春工作站,22.081478,120.706406,22.079678,120.714425,850.1706428457585
V2K610,大庄合作社,23.80855,120.359808,23.8068,120.367939,849.7710419026952
V2K620,麥寮合作社,23.755583,120.286657,23.753836,120.294783,849.527425389351
E2S980,太麻里(1),22.600724,120.971991,22.598922,120.980044,850.6300080826259
E2S960,太麻里(2),22.599802,120.9897,22.598,120.99775,850.3360871805266
72AI40,桃改臺北,24.946279,121.378755,24.944503,121.386972,851.6642731696328
E2HA20,畢祿溪站,24.22873,121.300362,24.226944,121.308522,850.9319781422373
A2N290,蘭花園區,23.342018,120.371562,23.340258,120.379661,849.712317369599
B2U990,宜蘭畜試,24.670842,121.824362,24.669039,121.832561,852.3889394754509
A2K630,雲林臺大,23.732381,120.415777,23.730628,120.423903,849.8236483341153
E2P980,六龜林試,22.993482,120.637645,22.991703,120.645722,850.1073586682229
E2P990,扇平林試,22.969481,120.677627,22.9677,120.685703,850.2024213572362
A2K360,臺西水試,23.718974,120.182399,23.717231,120.190522,849.3547286502572
V2C250,八德合作社,24.939471,121.258178,24.93775,121.266389,849.7219751004961
V2C260,八德蔬果,24.980279,121.27356,24.978508,121.281819,855.431979551992
72D680,新埔工作站,24.836,121.058,24.834444,121.066111,836.5820204294804
